"Study","rho","n","beta.Direct","beta.Inverse","beta.Combined","SD.Direct","SD.Inverse","SD.Combined","ASE.Direct","ASE.Inverse","ASE.Combined","size/power.Direct","size/power.Inverse","size/power.Combined","correlation1","correlation2","correlation3"
"Experimental","0","150","-0.532629040050975","-0.538172249531985","-0.516816098609068","1.23950461657704","1.2345995893197","1.19151368264487","1.27324032516141","1.26360703653947","1.20745662418204","0.06","0.06","0.067","0.954644073261143","-0.0444923234773415","-0.0223397309403703"
"Experimental","0","150","1.10934920004023","1.08476036380552","1.08221513207162","1.30050517309596","1.29425576856537","1.26320039418331","1.28459772126345","1.27392765888169","1.19103298412618","0.125","0.121","0.154","-0.0439122133410926","0.954200527523848","0.0101680204750335"
"Experimental","0","150","-0.0665162049456522","-0.0668768776785794","-0.0487786478006236","1.33520408028172","1.31263993997923","1.28810383332396","1.29045348196617","1.28136351792014","1.21503824245596","0.055","0.049","0.066","-0.0428409991398366","0.019642856210341","0.961656725433416"
"Experimental","0","300","-0.531295642977862","-0.516488117637783","-0.507879948970098","0.88346262666551","0.877475603574928","0.863739729231428","0.869766958073051","0.860481458135788","0.840384566639484","0.089","0.097","0.095","0.970356284667848","-0.0252001955377531","0.0327054690546675"
"Experimental","0","300","0.992461691948182","0.965013103470044","0.966777033477984","0.913023462207139","0.902001536160154","0.897036661085119","0.873872048510353","0.865059793923733","0.837587378814688","0.219","0.207","0.232","-0.0254116598417829","0.974477549587557","-0.0380050669196844"
"Experimental","0","300","-0.0205425401665028","-0.01294419925069","-0.000887321984000472","0.9025831633299","0.895670421321942","0.879638090041112","0.877090239834774","0.869190766270122","0.846040648431329","0.054","0.057","0.058","0.0269992701169777","-0.0345746294736762","0.974890057325681"
"Experimental","0","450","-0.531551713257218","-0.517637593618491","-0.509502171440752","0.706406785467565","0.693924168263572","0.686056891180523","0.701164471071723","0.693677335480119","0.681180889398807","0.116","0.114","0.117","0.977257696913454","-0.0299956295492693","0.0237681068776944"
"Experimental","0","450","0.978462062503419","0.955330693849971","0.956559182069432","0.695185146466181","0.690310747132103","0.685685708904","0.704124214893057","0.696985575886109","0.680724149920165","0.293","0.289","0.3","-0.0329392230006699","0.97803007357826","0.0104622231795905"
"Experimental","0","450","-0.0061124041673928","0.00897917179480325","0.0143321818750314","0.685879423460982","0.678852838164598","0.666179441781929","0.707404745220355","0.700949828568861","0.687251436035629","0.027","0.032","0.031","0.0228750631284724","0.00894298681140855","0.97662746707979"
"Experimental","0","600","-0.530083005032009","-0.513430676872514","-0.509616124541276","0.601949413970439","0.598403891922319","0.592822579631835","0.604634239823459","0.597880366055998","0.588500678799002","0.14","0.136","0.139","0.979448069773522","-0.0297347794165353","0.0220705711321549"
"Experimental","0","600","0.998808448997576","0.972086944146166","0.97501500517077","0.625829178385903","0.614749359209747","0.613857116164976","0.606687767470314","0.599883226771347","0.58735063545247","0.371","0.368","0.386","-0.0341392366947718","0.980101273209652","-0.0307982192736268"
"Experimental","0","600","0.0274697594409767","0.0360193133251524","0.0389104998272439","0.592756084860286","0.587462364489201","0.583871277992859","0.609278512053167","0.603294048479699","0.593053787727207","0.042","0.047","0.048","0.0213564974077528","-0.0406377040591361","0.98155736299546"
"Experimental","0","750","-0.515065166259983","-0.502260401807975","-0.495944859728264","0.553178792356977","0.546358797302581","0.542293559550286","0.538760226600373","0.533030431080492","0.525012849482127","0.165","0.155","0.158","0.980906099236705","0.0095027965101451","0.00526416197657155"
"Experimental","0","750","0.99348661072422","0.972515114432575","0.974675267354324","0.53919820253153","0.535672165928949","0.534167513951896","0.540661519319854","0.534569256126545","0.524483155170926","0.447","0.434","0.447","-0.00484721440851358","0.981885742742876","0.00905560602086752"
"Experimental","0","750","-0.00406048391213911","0.00670583453304471","0.0106198788284698","0.551076162916921","0.545525984423064","0.539257149051655","0.543394992262105","0.538165711489207","0.529966148433224","0.051","0.054","0.055","0.0150540099866267","0.00838508707951391","0.981140162377893"
"Experimental","0","900","-0.502042196033188","-0.488343866147664","-0.483200834126345","0.494226688915469","0.488686744910673","0.484098501861951","0.490534552307717","0.485186312565994","0.47837990555363","0.173","0.175","0.176","0.983178141028529","0.0201450472544798","0.01735435185094"
"Experimental","0","900","1.02015051695757","0.998980731982534","1.00160905495003","0.497829787734101","0.490688701259799","0.490860715421665","0.492634740139035","0.487412027144041","0.478989776413791","0.55","0.541","0.558","0.0175613092062996","0.983503222171622","0.0722805083607547"
"Experimental","0","900","0.00413108303376987","0.0164386000535945","0.0179703889598753","0.497722395617112","0.492105174893577","0.487731616769711","0.494257792664465","0.489726491527087","0.482771528656471","0.053","0.049","0.052","0.0162877178840614","0.0574082409078686","0.98357810783539"
"Experimental","0","1050","-0.513061136156471","-0.501426378971022","-0.496640683318415","0.481788910287334","0.480578098134395","0.475236639196261","0.45346297392465","0.44842982274726","0.442185463457985","0.229","0.228","0.228","0.98434478357393","0.00979663473176419","0.0115935293707413"
"Experimental","0","1050","1.00823189655777","0.987099880913498","0.989223167839578","0.452924307790797","0.445584194425985","0.446300831538565","0.45541875198552","0.450146649752667","0.442562202206193","0.607","0.602","0.614","0.00416991860932862","0.982045110866582","-0.0373256363688082"
"Experimental","0","1050","-0.00783388601346164","0.00078404800087444","0.00438617793959093","0.458176115975816","0.459324206467788","0.45388981839845","0.457390808217628","0.453077168136817","0.446781354169639","0.038","0.042","0.043","0.0267845984735649","-0.0495850896557493","0.983946713155774"
"Experimental","0","1200","-0.50620658964359","-0.492581069810661","-0.488983380091055","0.423570565535352","0.420908971706674","0.420221689794065","0.42368915067612","0.418906235736058","0.413155334553168","0.225","0.222","0.229","0.98249105096176","-0.0320189874935076","-0.0270781918836626"
"Experimental","0","1200","1.00941035730758","0.986606051740171","0.989483655915212","0.431381296026905","0.425142809875591","0.425612619446238","0.425488430871483","0.420635050325468","0.413803077709133","0.647","0.638","0.652","-0.0420520323259039","0.984051240717088","-0.00943708146468028"
"Experimental","0","1200","-0.0100184035968643","-1.73509338910855e-05","0.00206167911945113","0.445319247739873","0.438322895443226","0.436625636305596","0.427323824341613","0.42321389883555","0.417491749679089","0.067","0.065","0.065","-0.0367372841959486","-0.00337364963347075","0.984773860598547"
"Experimental","0","1350","-0.500451977349105","-0.488772968431892","-0.48395420651854","0.412481205969409","0.407812169993393","0.405050994358118","0.398882493896889","0.394529746473805","0.389396825554443","0.259","0.256","0.254","0.982911078204854","0.0144530315697921","-0.000397428823150893"
"Experimental","0","1350","1.01662480572949","0.992240485720466","0.995823054121354","0.389884627963019","0.383391409004623","0.383485080007752","0.400684365729411","0.396097359232254","0.389841416564045","0.723","0.711","0.725","0.0038113636680971","0.980281060998334","-0.0213180023196705"
"Experimental","0","1350","0.00508603271132146","0.0148956703746532","0.0163784175871761","0.409641699886477","0.407033281263667","0.403382812357336","0.402080501435605","0.398190178193694","0.392999368659186","0.053","0.048","0.047","-0.0032520557150228","-0.0172014735589792","0.983419017514545"
"Experimental","0","1500","-0.498593329805065","-0.484007561211324","-0.479051433825166","0.36758939278272","0.365042960318975","0.36316347778756","0.377877659044555","0.373646080043904","0.368727712025323","0.243","0.241","0.242","0.982634051292934","0.00939627299888943","-0.0130928148487135"
"Experimental","0","1500","0.973215348713539","0.947578360075685","0.951024388945688","0.377567793805171","0.377349568299942","0.376926200830738","0.379591434548895","0.375420051067105","0.369697123161951","0.729","0.7","0.72","0.00484737633589487","0.984911205661548","0.0349103225660332"
"Experimental","0","1500","0.00706073087161522","0.0201146792433346","0.0204603810422257","0.37798440269872","0.376040994875122","0.373615818801196","0.381395567524303","0.377533678518613","0.372614227161943","0.048","0.048","0.051","-0.0143177679187502","0.0336060125322302","0.98442963648396"
"Experimental","0.5","150","-0.586361979206214","-0.580573541217051","-0.550482261820883","1.54152217347307","1.54569848290599","1.4834952514813","1.46204280762312","1.46034029634196","1.39660538765156","0.076","0.077","0.079","0.962694037742078","-0.416578946017962","0.00438151686091778"
"Experimental","0.5","150","1.04469476577175","1.0435675451018","1.00985388021508","1.6489898509425","1.68058645040194","1.62658098256079","1.62508127395331","1.62150305857379","1.5354726671475","0.096","0.1","0.109","-0.428928095906979","0.953154536051068","-0.378175175081147"
"Experimental","0.5","150","0.0554255531518297","0.0390977632493658","0.0624928140793702","1.49527028093161","1.51169976578997","1.43416796437822","1.4685036590387","1.46639236303812","1.39738987173628","0.049","0.046","0.05","-0.00400443523669066","-0.373444226461396","0.956653390379858"
"Experimental","0.5","300","-0.495498291384123","-0.48635044583461","-0.474306545491704","1.00122506511661","0.994879260506304","0.96948788007354","0.991051351533523","0.985502780450545","0.963366563230491","0.072","0.08","0.08","0.97624272305911","-0.47838902232211","0.0362696428402513"
"Experimental","0.5","300","1.05709309090392","1.0447598289516","1.02542648428408","1.13839768768476","1.12896851580033","1.11029864858229","1.10340109008041","1.09441808203225","1.06582799174724","0.167","0.172","0.18","-0.480909122747275","0.972734392464601","-0.444938056203138"
"Experimental","0.5","300","-0.0338644262113066","-0.038058835887143","-0.0194035066257421","1.02997958508096","1.02123358633525","1.00042106012954","0.997384542071008","0.989606992806779","0.966094351711347","0.052","0.056","0.054","0.0460124887102989","-0.443465292039748","0.975537043176426"
"Experimental","0.5","450","-0.522041006894255","-0.51935440214191","-0.503400240189667","0.818164333940449","0.81307205335955","0.80147342929499","0.798994942069363","0.794648899788393","0.781288819698882","0.104","0.106","0.106","0.982608514571418","-0.417515552082791","-0.028192969024173"
"Experimental","0.5","450","1.015871839984","0.998370140622248","0.985850660806125","0.890601192683749","0.888261818022957","0.877351336313454","0.88914204043819","0.881970486879952","0.864268908775486","0.2","0.198","0.196","-0.410879959799228","0.978779709872191","-0.405637837599879"
"Experimental","0.5","450","-0.00121022470654855","0.00836199706714715","0.0159168479197704","0.835155426980146","0.832374407608803","0.819651121179396","0.803046776674338","0.79752646086606","0.783268130958703","0.054","0.058","0.06","-0.0291837306420213","-0.422537937111284","0.982070867292488"
"Experimental","0.5","600","-0.509404669423834","-0.502137942665014","-0.496298855242694","0.652806435113643","0.649544859813349","0.642455179124436","0.687429780183843","0.682826804058862","0.673224766812495","0.108","0.109","0.111","0.984100520685068","-0.420666785768271","-0.00435747522281229"
